G;GS;MPG ;FG%;3p%;FT%;OFF ;DEF ;RPG ;APG ;SPG ;BPG ;TO ;PF ;PPG ;Class
362;223;244;466;405;800;6;21;27;15;5;3;8;20;88;1
19;0;119;273;298;970;1;11;12;12;4;0;12;14;46;1
1148;1140;369;452;400;894;10;32;42;36;12;2;22;23;200;1
466;170;198;482;284;745;9;19;28;13;12;4;14;22;78;1
38;1;95;381;292;743;3;9;12;3;3;1;5;11;31;1
70;19;183;413;381;827;6;13;19;11;3;1;11;17;67;1
77;4;115;380;325;757;2;11;13;8;1;1;6;8;37;1
552;455;350;421;351;803;8;31;39;53;16;2;32;30;207;1
282;142;268;407;374;876;3;17;20;44;6;0;16;17;109;1
208;84;242;459;409;770;12;28;40;11;6;5;10;20;105;1
588;109;246;461;391;823;4;18;23;24;9;1;15;22;125;1
356;56;182;429;358;803;3;16;19;33;4;0;14;14;76;1
255;202;262;460;372;836;12;27;39;13;8;7;10;20;102;1
229;36;182;412;350;822;3;15;18;28;4;1;14;20;81;1
137;54;171;452;332;815;3;18;21;21;8;4;12;19;81;1
287;148;215;424;393;796;2;15;18;13;6;1;10;15;89;1
706;479;281;434;406;799;6;22;28;17;7;2;10;26;99;1
1001;950;339;436;379;802;5;26;31;55;12;2;21;19;147;1
1002;908;322;416;389;894;5;25;29;55;10;2;21;21;155;1
631;304;248;404;387;785;3;18;21;39;7;1;14;15;69;1
121;26;190;417;260;718;7;16;24;29;10;3;20;16;56;1
652;34;199;417;348;876;4;9;13;32;6;0;12;10;89;1
95;28;161;475;373;756;4;10;14;10;6;1;10;14;56;1
418;267;252;501;244;686;10;21;30;18;14;3;9;12;90;1
56;47;294;428;313;764;13;23;36;23;9;3;21;21;126;1
315;35;177;422;344;819;4;14;18;11;7;2;9;13;77;1
1161;1013;365;453;337;838;12;41;53;47;15;5;30;26;254;1
59;0;159;429;333;727;10;13;22;9;5;1;9;14;72;1
42;0;85;405;182;768;5;8;13;3;3;1;3;5;26;1
2;0;180;273;0;1000;30;25;55;5;10;0;0;10;50;1
232;26;184;438;247;798;3;12;15;31;7;1;15;18;77;1
480;293;284;482;381;875;4;22;25;72;9;1;17;18;99;1
458;84;166;413;384;841;3;16;19;7;5;1;6;15;66;1
986;947;357;444;374;798;14;37;51;39;12;7;22;29;214;1
289;196;271;419;359;781;3;20;24;36;15;1;18;26;83;1
65;2;194;393;276;776;3;11;14;20;7;0;16;19;68;1
215;172;295;460;363;853;5;23;28;52;10;2;24;14;121;1
358;329;321;440;379;775;4;25;28;54;15;1;20;20;119;1
279;48;199;374;365;817;2;21;23;8;4;2;6;16;71;1
812;399;318;408;348;852;4;22;26;39;10;2;20;16;153;1
106;50;262;394;279;815;7;19;26;29;9;1;21;16;135;1
180;174;340;473;441;901;6;34;41;58;17;3;30;30;175;1
489;113;217;458;226;720;10;19;29;18;9;3;12;16;82;1
835;692;342;409;320;711;9;29;38;72;18;4;28;28;161;1
440;165;225;400;362;749;6;30;36;17;9;2;10;16;77;1
222;210;303;457;206;802;8;26;34;15;8;3;15;25;141;1
721;86;195;415;349;799;2;12;13;22;6;1;11;17;70;1
175;30;212;409;353;806;7;17;24;25;9;0;11;20;90;1
271;36;190;444;364;737;6;16;22;33;8;1;18;19;80;1
370;97;235;474;409;731;14;24;38;13;9;2;8;17;85;1
560;310;263;394;363;789;3;20;23;46;8;1;16;16;68;1
682;426;285;444;365;798;8;38;46;24;8;3;16;21;121;1
9;1;200;396;125;778;2;19;21;20;12;2;22;21;74;1
189;13;187;412;376;828;4;16;19;9;4;1;8;11;65;1
434;355;357;464;327;773;8;29;37;45;17;3;28;25;195;1
562;123;194;442;363;785;10;15;25;7;5;2;5;17;67;1
192;186;362;441;255;762;9;40;49;53;14;4;30;25;182;1
413;25;195;427;367;728;3;16;19;28;8;1;13;14;77;1
534;479;348;412;330;787;6;27;33;67;14;2;26;22;134;1
249;10;240;399;360;840;5;19;24;22;10;2;12;15;91;1
148;143;300;480;344;669;11;43;54;22;11;2;14;14;93;1
1173;722;262;400;373;816;3;18;21;31;11;1;12;21;86;1
163;90;229;400;338;809;3;16;19;39;8;0;23;11;92;1
10;0;95;344;231;667;6;9;15;10;3;0;10;5;35;1
389;214;271;411;366;861;4;20;24;32;7;3;16;22;116;1
61;7;186;386;361;833;3;9;12;18;5;0;11;12;76;1
113;12;116;397;301;562;4;11;15;18;7;0;8;9;45;1
422;113;226;437;360;808;6;22;28;14;8;7;11;24;86;1
127;85;254;445;352;788;7;39;47;18;13;5;15;25;100;1
351;74;239;409;416;786;4;17;21;20;6;2;10;21;82;1
667;346;279;452;373;835;8;32;40;39;15;3;21;22;152;1
594;269;299;436;406;859;5;22;27;28;8;2;22;25;165;1
205;190;357;452;370;807;6;21;27;33;11;4;24;20;182;1
40;0;104;391;373;917;1;7;8;5;1;0;5;8;44;1
94;38;184;441;418;783;7;21;28;10;7;5;8;13;73;1
212;43;173;433;366;799;6;17;22;8;5;2;12;20;83;1
552;226;213;428;334;762;4;15;19;15;6;1;11;18;91;1
